,EXPERIMENT,SEED,RAM,TERM,HAM_LOS,PREC,REC,F1
0,20211214005314.0,3.0,5.0,5.0,0.4166666666666667,0.0,0.0,0.0
1,20211214005314.0,2.0,5.0,5.0,0.2916666666666667,0.0,0.0,0.0
2,20211214005314.0,1.0,5.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
3,20211214005314.0,0.0,5.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
4,20211214005314.0,4.0,5.0,4.0,0.16666666666666666,0.5,0.5,0.5
5,20211214005314.0,3.0,5.0,4.0,0.4166666666666667,0.0,0.0,0.0
6,20211214005314.0,2.0,5.0,4.0,0.25,0.0,0.0,0.0
7,20211214005314.0,1.0,5.0,4.0,0.20833333333333334,0.0,0.0,0.0
8,20211214005314.0,0.0,5.0,4.0,0.20833333333333334,0.5,0.4,0.4444444444444445
9,20211214005314.0,4.0,5.0,3.0,0.16666666666666666,0.5,0.5,0.5
10,20211214005314.0,3.0,5.0,3.0,0.4166666666666667,0.0,0.0,0.0
11,20211214005314.0,2.0,5.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
12,20211214005314.0,1.0,5.0,3.0,0.25,0.3333333333333333,0.2,0.25
13,20211214005314.0,0.0,5.0,3.0,0.16666666666666666,1.0,0.2,0.33333333333333337
14,20211214005314.0,4.0,4.0,5.0,0.2916666666666667,0.2,0.25,0.22222222222222224
15,20211214005314.0,3.0,4.0,5.0,0.4166666666666667,0.0,0.0,0.0
16,20211214005314.0,2.0,4.0,5.0,0.25,0.3333333333333333,0.2,0.25
17,20211214005314.0,1.0,4.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
18,20211214005314.0,0.0,4.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
19,20211214005314.0,4.0,4.0,4.0,0.16666666666666666,0.5,0.5,0.5
20,20211214005314.0,3.0,4.0,4.0,0.4166666666666667,0.0,0.0,0.0
21,20211214005314.0,2.0,4.0,4.0,0.3333333333333333,0.0,0.0,0.0
22,20211214005314.0,1.0,4.0,4.0,0.25,0.3333333333333333,0.2,0.25
23,20211214005314.0,0.0,4.0,4.0,0.16666666666666666,0.6666666666666666,0.4,0.5
24,20211214005314.0,4.0,4.0,3.0,0.16666666666666666,0.5,0.75,0.6
25,20211214005314.0,3.0,4.0,3.0,0.4166666666666667,0.0,0.0,0.0
26,20211214005314.0,2.0,4.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
27,20211214005314.0,1.0,4.0,3.0,0.20833333333333334,0.0,0.0,0.0
28,20211214005314.0,0.0,4.0,3.0,0.16666666666666666,1.0,0.2,0.33333333333333337
29,20211214005314.0,4.0,3.0,5.0,0.25,0.25,0.25,0.25
30,20211214005314.0,3.0,3.0,5.0,0.4166666666666667,0.0,0.0,0.0
31,20211214005314.0,2.0,3.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
32,20211214005314.0,1.0,3.0,5.0,0.16666666666666666,1.0,0.2,0.33333333333333337
33,20211214005314.0,0.0,3.0,5.0,0.20833333333333334,0.5,0.2,0.28571428571428575
34,20211214005314.0,4.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0
35,20211214005314.0,3.0,3.0,4.0,0.4166666666666667,0.0,0.0,0.0
36,20211214005314.0,2.0,3.0,4.0,0.25,0.3333333333333333,0.2,0.25
37,20211214005314.0,1.0,3.0,4.0,0.20833333333333334,0.5,0.2,0.28571428571428575
38,20211214005314.0,0.0,3.0,4.0,0.25,0.0,0.0,0.0
39,20211214005314.0,4.0,3.0,3.0,0.25,0.25,0.25,0.25
40,20211214005314.0,3.0,3.0,3.0,0.4166666666666667,0.0,0.0,0.0
41,20211214005314.0,2.0,3.0,3.0,0.2916666666666667,0.25,0.2,0.22222222222222224
42,20211214005314.0,1.0,3.0,3.0,0.20833333333333334,0.0,0.0,0.0
43,20211214005314.0,0.0,3.0,3.0,0.20833333333333334,0.0,0.0,0.0
